file,line,title,suggestedMetricId,formula,benchmark,description,reason
/src/app/dashboard/data/page.tsx,229,유효 행 수,유효_행_수,,,,
/src/app/dashboard/data/page.tsx,237,파일 수,파일_수,,,,
/src/app/dashboard/data/page.tsx,246,조직 수,조직_수,,,,
/src/app/dashboard/data/page.tsx,254,마지막 업로드,마지막_업로드,,,,
/src/app/dashboard/orders/tabs/ConversionTab.tsx,80,수주완료율(건수기준),수주완료율건수기준,,,,
/src/app/dashboard/orders/tabs/ConversionTab.tsx,90,수주 취소율,수주_취소율,,,,
/src/app/dashboard/orders/tabs/ConversionTab.tsx,100,진행 중 수주,진행_중_수주,,,,
/src/app/dashboard/orders/tabs/ConversionTab.tsx,110,건당 평균 수주액,건당_평균_수주액,,,,
/src/app/dashboard/orders/tabs/InventoryTab.tsx,375,총 기말재고,총_기말재고,,,,
/src/app/dashboard/orders/tabs/InventoryTab.tsx,382,평균 회전율,평균_회전율,,,,
/src/app/dashboard/orders/tabs/InventoryTab.tsx,390,장기재고,장기재고,,,,
/src/app/dashboard/orders/tabs/InventoryTab.tsx,398,수량 DIO,수량_dio,,,,
/src/app/dashboard/orders/tabs/InventoryTab.tsx,406,사장재고,사장재고,,,,
/src/app/dashboard/orders/tabs/InventoryTab.tsx,414,과잉재고,과잉재고,,,,
/src/app/dashboard/orders/tabs/PipelineTab.tsx,63,수주에서 매출 전환율,수주에서_매출_전환율,,,,
/src/app/dashboard/orders/tabs/PipelineTab.tsx,73,순수 수금율 (선수금 제외),순수_수금율_선수금_제외,,,,
/src/app/dashboard/orders/tabs/PipelineTab.tsx,83,미수잔액,미수잔액,,,,
/src/app/dashboard/orders/tabs/PipelineTab.tsx,93,실제 자금 필요,실제_자금_필요,,,,
/src/app/dashboard/orders/tabs/StatusTab.tsx,76,총 수주액,총_수주액,,,,
/src/app/dashboard/orders/tabs/StatusTab.tsx,86,기간 내 매출/수주 비율,기간_내_매출수주_비율,,,,
/src/app/dashboard/orders/tabs/StatusTab.tsx,96,기간 내 수주-매출 갭,기간_내_수주매출_갭,,,,
/src/app/dashboard/orders/tabs/StatusTab.tsx,106,수주 건수,수주_건수,,,,
/src/app/dashboard/page.tsx,289,총 매출액,총_매출액,,,,
/src/app/dashboard/page.tsx,290,영업이익율,영업이익율,,,,
/src/app/dashboard/page.tsx,291,수금율,수금율,,,,
/src/app/dashboard/page.tsx,292,계획 달성율,계획_달성율,,,,
/src/app/dashboard/page.tsx,302,Win Rate,win_rate,,,,
/src/app/dashboard/page.tsx,303,평균 영업주기,평균_영업주기,,,,
/src/app/dashboard/page.tsx,304,Sales Velocity,sales_velocity,,,,
/src/app/dashboard/page.tsx,305,수금 리드타임,수금_리드타임,,,,
/src/app/dashboard/profiles/tabs/CostTab.tsx,82,공헌이익율,공헌이익율,공헌이익율 = (매출액 - 변동비) ÷ 매출액 × 100,"30% 이상 우수, 20~30% 보통, 20% 미만 개선 필요","변동비(원재료비, 외주비, 상품매입비 등)를 차감한 후 고정비 회수와 이익에 기여하는 비율입니다.","영업사원별 공헌이익율로 고정비 회수 능력을 평가하고, 수익성 개선이 필요한 담당자를 식별합니다."
